Source	Target	Weight
12hpf:diencephalon (aplnr2+)	16hpf:macrophage	0
12hpf:differentiating neurons	16hpf:macrophage	0
12hpf:endoderm	16hpf:macrophage	0
12hpf:endothelial	16hpf:macrophage	0
12hpf:epidermal	16hpf:macrophage	0
12hpf:epidermal (foxi3a+)	16hpf:macrophage	0
12hpf:epidermal (gbx2+)	16hpf:macrophage	0
12hpf:hatching gland	16hpf:macrophage	0
12hpf:hindbrain	16hpf:macrophage	0
12hpf:mesoderm adaxial cells	16hpf:macrophage	0
12hpf:mesoderm lateral plate	16hpf:macrophage	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:macrophage	1
12hpf:mesoderm lateral plate (tbx1+)	16hpf:macrophage	0
12hpf:midbrain	16hpf:macrophage	0
12hpf:neural anterior	16hpf:macrophage	0
12hpf:neural crest	16hpf:macrophage	0
12hpf:neural plate anterior	16hpf:macrophage	0
12hpf:neural plate posterior	16hpf:macrophage	0
12hpf:notochord	16hpf:macrophage	0
12hpf:periderm	16hpf:macrophage	0
12hpf:spinal cord	16hpf:macrophage	0
12hpf:tailbud mesoderm	16hpf:macrophage	0
12hpf:telencephalon	16hpf:macrophage	0
12hpf:anterior neural ridge	16hpf:midbrain	0.00411960132890365
12hpf:diencephalon	16hpf:midbrain	0.0336212624584718
12hpf:diencephalon (aplnr2+)	16hpf:midbrain	0.0172757475083056
12hpf:differentiating neurons	16hpf:midbrain	0.0114285714285714
12hpf:endoderm	16hpf:midbrain	0.00159468438538206
12hpf:endothelial	16hpf:midbrain	0.00026578073089701
12hpf:epidermal	16hpf:midbrain	0.00398671096345515
12hpf:epidermal (foxi3a+)	16hpf:midbrain	0
12hpf:epidermal (gbx2+)	16hpf:midbrain	0.00079734219269103
12hpf:hatching gland	16hpf:midbrain	0
12hpf:hindbrain	16hpf:midbrain	0.105647840531561
12hpf:mesoderm adaxial cells	16hpf:midbrain	0.00186046511627907
12hpf:mesoderm lateral plate	16hpf:midbrain	0.00053156146179402
12hpf:mesoderm lateral plate (fli1a+)	16hpf:midbrain	0.00930232558139535
12hpf:mesoderm lateral plate (tbx1+)	16hpf:midbrain	0
12hpf:midbrain	16hpf:midbrain	0.596943521594684
12hpf:neural anterior	16hpf:midbrain	0.0237873754152824
12hpf:neural crest	16hpf:midbrain	0.0209966777408638
12hpf:neural plate anterior	16hpf:midbrain	0.092890365448505
12hpf:neural plate posterior	16hpf:midbrain	0.053156146179402
12hpf:notochord	16hpf:midbrain	0
12hpf:periderm	16hpf:midbrain	0.01421926910299
12hpf:spinal cord	16hpf:midbrain	0.00372093023255814
12hpf:tailbud mesoderm	16hpf:midbrain	0
12hpf:telencephalon	16hpf:midbrain	0.00385382059800664
12hpf:anterior neural ridge	16hpf:myotome	0
12hpf:diencephalon	16hpf:myotome	0
12hpf:diencephalon (aplnr2+)	16hpf:myotome	0
12hpf:differentiating neurons	16hpf:myotome	0
12hpf:endoderm	16hpf:myotome	0
12hpf:endothelial	16hpf:myotome	0
12hpf:epidermal	16hpf:myotome	0
12hpf:epidermal (foxi3a+)	16hpf:myotome	0
12hpf:epidermal (gbx2+)	16hpf:myotome	0
12hpf:hatching gland	16hpf:myotome	0
12hpf:hindbrain	16hpf:myotome	0
12hpf:mesoderm adaxial cells	16hpf:myotome	0.166813509544787
12hpf:mesoderm lateral plate	16hpf:myotome	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:myotome	0
12hpf:mesoderm lateral plate (tbx1+)	16hpf:myotome	0.00102790014684288
12hpf:midbrain	16hpf:myotome	0
12hpf:neural anterior	16hpf:myotome	0
12hpf:neural crest	16hpf:myotome	0
12hpf:neural plate anterior	16hpf:myotome	0
12hpf:neural plate posterior	16hpf:myotome	0
12hpf:notochord	16hpf:myotome	0
12hpf:periderm	16hpf:myotome	0
12hpf:spinal cord	16hpf:myotome	0
12hpf:tailbud mesoderm	16hpf:myotome	0.83215859030837
12hpf:telencephalon	16hpf:myotome	0
12hpf:anterior neural ridge	16hpf:neural crest	0
12hpf:diencephalon	16hpf:neural crest	0
12hpf:diencephalon (aplnr2+)	16hpf:neural crest	0
12hpf:differentiating neurons	16hpf:neural crest	0.00141176470588235
12hpf:endoderm	16hpf:neural crest	0.000470588235294118
12hpf:endothelial	16hpf:neural crest	0.000470588235294118
12hpf:epidermal	16hpf:neural crest	0.00611764705882353
12hpf:epidermal (foxi3a+)	16hpf:neural crest	0
12hpf:epidermal (gbx2+)	16hpf:neural crest	0
12hpf:hatching gland	16hpf:neural crest	0
12hpf:hindbrain	16hpf:neural crest	0
12hpf:mesoderm adaxial cells	16hpf:neural crest	0
12hpf:mesoderm lateral plate	16hpf:neural crest	0.00188235294117647
12hpf:mesoderm lateral plate (fli1a+)	16hpf:neural crest	0.00188235294117647
12hpf:mesoderm lateral plate (tbx1+)	16hpf:neural crest	0.0122352941176471
12hpf:midbrain	16hpf:neural crest	0.00235294117647059
12hpf:neural anterior	16hpf:neural crest	0.000470588235294118
12hpf:neural crest	16hpf:neural crest	0.943529411764706
12hpf:neural plate anterior	16hpf:neural crest	0
12hpf:neural plate posterior	16hpf:neural crest	0.00847058823529412
12hpf:notochord	16hpf:neural crest	0
12hpf:periderm	16hpf:neural crest	0.000470588235294118
12hpf:spinal cord	16hpf:neural crest	0.0183529411764706
12hpf:tailbud mesoderm	16hpf:neural crest	0.00188235294117647
12hpf:telencephalon	16hpf:neural crest	0
12hpf:anterior neural ridge	16hpf:notochord	0
12hpf:diencephalon	16hpf:notochord	0
12hpf:diencephalon (aplnr2+)	16hpf:notochord	0
12hpf:differentiating neurons	16hpf:notochord	0
12hpf:endoderm	16hpf:notochord	0
12hpf:endothelial	16hpf:notochord	0
12hpf:epidermal	16hpf:notochord	0
12hpf:epidermal (foxi3a+)	16hpf:notochord	0
12hpf:epidermal (gbx2+)	16hpf:notochord	0
12hpf:hatching gland	16hpf:notochord	0
12hpf:hindbrain	16hpf:notochord	0
12hpf:mesoderm adaxial cells	16hpf:notochord	0
12hpf:mesoderm lateral plate	16hpf:notochord	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:notochord	0
